ID Pregunta,ID Tema,Tema,ID SubTema,Subtema,n Pregunta,Pregunta,ID Respuesta,n Respuesta,Es Correcta,Descripcio,Comentaris
PN1116,1,Geografía,12,Ríos,2,¿Qué río es el más largo de Ríos?,RN11162,2,no,Nilo,Explicación: esta respuesta es incorrecta.
PN1116,1,Geografía,12,Ríos,2,¿Qué río es el más largo de Ríos?,RN11163,3,no,Misisipi,Explicación: esta respuesta es incorrecta.
PN1116,1,Geografía,12,Ríos,2,¿Qué río es el más largo de Ríos?,RN11164,4,no,Yangtsé,Explicación: esta respuesta es incorrecta.
PN1117,1,Geografía,12,Ríos,3,¿Cuál es la montaña más alta en Ríos?,RN11171,1,sí,Amazonas,Explicación: esta es la respuesta correcta.
PN1117,1,Geografía,12,Ríos,3,¿Cuál es la montaña más alta en Ríos?,RN11172,2,no,Nilo,Explicación: esta respuesta es incorrecta.
PN1117,1,Geografía,12,Ríos,3,¿Cuál es la montaña más alta en Ríos?,RN11173,3,no,Misisipi,Explicación: esta respuesta es incorrecta.
PN1117,1,Geografía,12,Ríos,3,¿Cuál es la montaña más alta en Ríos?,RN11174,4,no,Yangtsé,Explicación: esta respuesta es incorrecta.
PN1118,1,Geografía,12,Ríos,4,¿En qué época ocurrió la guerra en Ríos?,RN11181,1,no,Amazonas,Explicación: esta respuesta es incorrecta.
PN1118,1,Geografía,12,Ríos,4,¿En qué época ocurrió la guerra en Ríos?,RN11182,2,no,Nilo,Explicación: esta respuesta es incorrecta.
PN1118,1,Geografía,12,Ríos,4,¿En qué época ocurrió la guerra en Ríos?,RN11183,3,no,Misisipi,Explicación: esta respuesta es incorrecta.
PN1118,1,Geografía,12,Ríos,4,¿En qué época ocurrió la guerra en Ríos?,RN11184,4,sí,Yangtsé,Explicación: esta es la respuesta correcta.
PN1119,1,Geografía,13,Montañas,1,¿Cuál es la capital de Montañas?,RN11191,1,sí,Madrid,Explicación: esta es la respuesta correcta.
PN1119,1,Geografía,13,Montañas,1,¿Cuál es la capital de Montañas?,RN11192,2,no,Paris,Explicación: esta respuesta es incorrecta.
PN1119,1,Geografía,13,Montañas,1,¿Cuál es la capital de Montañas?,RN11193,3,no,London,Explicación: esta respuesta es incorrecta.
PN1119,1,Geografía,13,Montañas,1,¿Cuál es la capital de Montañas?,RN11194,4,no,Berlin,Explicación: esta respuesta es incorrecta.
PN1120,1,Geografía,13,Montañas,2,¿Qué río es el más largo de Montañas?,RN11201,1,sí,Amazonas,Explicación: esta es la respuesta correcta.
PN1120,1,Geografía,13,Montañas,2,¿Qué río es el más largo de Montañas?,RN11202,2,no,Nilo,Explicación: esta respuesta es incorrecta.
PN1120,1,Geografía,13,Montañas,2,¿Qué río es el más largo de Montañas?,RN11203,3,no,Misisipi,Explicación: esta respuesta es incorrecta.
PN1120,1,Geografía,13,Montañas,2,¿Qué río es el más largo de Montañas?,RN11204,4,no,Yangtsé,Explicación: esta respuesta es incorrecta.
PN1121,1,Geografía,13,Montañas,3,¿Cuál es la montaña más alta en Montañas?,RN11211,1,sí,Respuesta A,Explicación: esta es la respuesta correcta.
PN1121,1,Geografía,13,Montañas,3,¿Cuál es la montaña más alta en Montañas?,RN11212,2,no,Respuesta B,Explicación: esta respuesta es incorrecta.
PN1121,1,Geografía,13,Montañas,3,¿Cuál es la montaña más alta en Montañas?,RN11213,3,no,Respuesta C,Explicación: esta respuesta es incorrecta.
PN1121,1,Geografía,13,Montañas,3,¿Cuál es la montaña más alta en Montañas?,RN11214,4,no,Respuesta D,Explicación: esta respuesta es incorrecta.
PN1122,1,Geografía,13,Montañas,4,¿En qué época ocurrió la guerra en Montañas?,RN11221,1,no,Respuesta A,Explicación: esta respuesta es incorrecta.
PN1122,1,Geografía,13,Montañas,4,¿En qué época ocurrió la guerra en Montañas?,RN11222,2,no,Respuesta B,Explicación: esta respuesta es incorrecta.
PN1122,1,Geografía,13,Montañas,4,¿En qué época ocurrió la guerra en Montañas?,RN11223,3,no,Respuesta C,Explicación: esta respuesta es incorrecta.
PN1122,1,Geografía,13,Montañas,4,¿En qué época ocurrió la guerra en Montañas?,RN11224,4,sí,Respuesta D,Explicación: esta es la respuesta correcta.
PN1123,2,Historia,21,Antigua,1,¿Cuál es la capital de Antigua?,RN11231,1,sí,Madrid,Explicación: esta es la respuesta correcta.
PN1123,2,Historia,21,Antigua,1,¿Cuál es la capital de Antigua?,RN11232,2,no,Paris,Explicación: esta respuesta es incorrecta.
PN1123,2,Historia,21,Antigua,1,¿Cuál es la capital de Antigua?,RN11233,3,no,London,Explicación: esta respuesta es incorrecta.
PN1123,2,Historia,21,Antigua,1,¿Cuál es la capital de Antigua?,RN11234,4,no,Berlin,Explicación: esta respuesta es incorrecta.
PN1124,2,Historia,21,Antigua,2,¿Qué río es el más largo de Antigua?,RN11241,1,sí,Amazonas,Explicación: esta es la respuesta correcta.
PN1124,2,Historia,21,Antigua,2,¿Qué río es el más largo de Antigua?,RN11242,2,no,Nilo,Explicación: esta respuesta es incorrecta.
PN1124,2,Historia,21,Antigua,2,¿Qué río es el más largo de Antigua?,RN11243,3,no,Misisipi,Explicación: esta respuesta es incorrecta.
PN1124,2,Historia,21,Antigua,2,¿Qué río es el más largo de Antigua?,RN11244,4,no,Yangtsé,Explicación: esta respuesta es incorrecta.
PN1125,2,Historia,21,Antigua,3,¿Cuál es la montaña más alta en Antigua?,RN11251,1,sí,Respuesta A,Explicación: esta es la respuesta correcta.
PN1125,2,Historia,21,Antigua,3,¿Cuál es la montaña más alta en Antigua?,RN11252,2,no,Respuesta B,Explicación: esta respuesta es incorrecta.
PN1125,2,Historia,21,Antigua,3,¿Cuál es la montaña más alta en Antigua?,RN11253,3,no,Respuesta C,Explicación: esta respuesta es incorrecta.
PN1125,2,Historia,21,Antigua,3,¿Cuál es la montaña más alta en Antigua?,RN11254,4,no,Respuesta D,Explicación: esta respuesta es incorrecta.
PN1126,2,Historia,21,Antigua,4,¿En qué época ocurrió la guerra en Antigua?,RN11261,1,no,Respuesta A,Explicación: esta respuesta es incorrecta.
PN1126,2,Historia,21,Antigua,4,¿En qué época ocurrió la guerra en Antigua?,RN11262,2,no,Respuesta B,Explicación: esta respuesta es incorrecta.
PN1126,2,Historia,21,Antigua,4,¿En qué época ocurrió la guerra en Antigua?,RN11263,3,no,Respuesta C,Explicación: esta respuesta es incorrecta.
PN1126,2,Historia,21,Antigua,4,¿En qué época ocurrió la guerra en Antigua?,RN11264,4,sí,Respuesta D,Explicación: esta es la respuesta correcta.
PN1127,2,Historia,22,Medieval,1,¿Cuál es la capital de Medieval?,RN11271,1,sí,Madrid,Explicación: esta es la respuesta correcta.
PN1127,2,Historia,22,Medieval,1,¿Cuál es la capital de Medieval?,RN11272,2,no,Paris,Explicación: esta respuesta es incorrecta.
PN1127,2,Historia,22,Medieval,1,¿Cuál es la capital de Medieval?,RN11273,3,no,London,Explicación: esta respuesta es incorrecta.
PN1127,2,Historia,22,Medieval,1,¿Cuál es la capital de Medieval?,RN11274,4,no,Berlin,Explicación: esta respuesta es incorrecta.
PN1128,2,Historia,22,Medieval,2,¿Qué río es el más largo de Medieval?,RN11281,1,sí,Amazonas,Explicación: esta es la respuesta correcta.
PN1128,2,Historia,22,Medieval,2,¿Qué río es el más largo de Medieval?,RN11282,2,no,Nilo,Explicación: esta respuesta es incorrecta.
PN1128,2,Historia,22,Medieval,2,¿Qué río es el más largo de Medieval?,RN11283,3,no,Misisipi,Explicación: esta respuesta es incorrecta.
PN1128,2,Historia,22,Medieval,2,¿Qué río es el más largo de Medieval?,RN11284,4,no,Yangtsé,Explicación: esta respuesta es incorrecta.
PN1129,2,Historia,22,Medieval,3,¿Cuál es la montaña más alta en Medieval?,RN11291,1,sí,Respuesta A,Explicación: esta es la respuesta correcta.
PN1129,2,Historia,22,Medieval,3,¿Cuál es la montaña más alta en Medieval?,RN11292,2,no,Respuesta B,Explicación: esta respuesta es incorrecta.
PN1129,2,Historia,22,Medieval,3,¿Cuál es la montaña más alta en Medieval?,RN11293,3,no,Respuesta C,Explicación: esta respuesta es incorrecta.
PN1129,2,Historia,22,Medieval,3,¿Cuál es la montaña más alta en Medieval?,RN11294,4,no,Respuesta D,Explicación: esta respuesta es incorrecta.
PN1130,2,Historia,22,Medieval,4,¿En qué época ocurrió la guerra en Medieval?,RN11301,1,no,Respuesta A,Explicación: esta respuesta es incorrecta.
PN1130,2,Historia,22,Medieval,4,¿En qué época ocurrió la guerra en Medieval?,RN11302,2,no,Respuesta B,Explicación: esta respuesta es incorrecta.
PN1130,2,Historia,22,Medieval,4,¿En qué época ocurrió la guerra en Medieval?,RN11303,3,no,Respuesta C,Explicación: esta respuesta es incorrecta.
PN1130,2,Historia,22,Medieval,4,¿En qué época ocurrió la guerra en Medieval?,RN11304,4,sí,Respuesta D,Explicación: esta es la respuesta correcta.
PN1131,2,Historia,23,Moderna,1,¿Cuál es la capital de Moderna?,RN11311,1,sí,Madrid,Explicación: esta es la respuesta correcta.
PN1131,2,Historia,23,Moderna,1,¿Cuál es la capital de Moderna?,RN11312,2,no,Paris,Explicación: esta respuesta es incorrecta.
PN1131,2,Historia,23,Moderna,1,¿Cuál es la capital de Moderna?,RN11313,3,no,London,Explicación: esta respuesta es incorrecta.
PN1131,2,Historia,23,Moderna,1,¿Cuál es la capital de Moderna?,RN11314,4,no,Berlin,Explicación: esta respuesta es incorrecta.
PN1132,2,Historia,23,Moderna,2,¿Qué río es el más largo de Moderna?,RN11321,1,sí,Amazonas,Explicación: esta es la respuesta correcta.
PN1132,2,Historia,23,Moderna,2,¿Qué río es el más largo de Moderna?,RN11322,2,no,Nilo,Explicación: esta respuesta es incorrecta.
PN1132,2,Historia,23,Moderna,2,¿Qué río es el más largo de Moderna?,RN11323,3,no,Misisipi,Explicación: esta respuesta es incorrecta.
PN1132,2,Historia,23,Moderna,2,¿Qué río es el más largo de Moderna?,RN11324,4,no,Yangtsé,Explicación: esta respuesta es incorrecta.
PN1133,2,Historia,23,Moderna,3,¿Cuál es la montaña más alta en Moderna?,RN11331,1,sí,Respuesta A,Explicación: esta es la respuesta correcta.
PN1133,2,Historia,23,Moderna,3,¿Cuál es la montaña más alta en Moderna?,RN11332,2,no,Respuesta B,Explicación: esta respuesta es incorrecta.
PN1133,2,Historia,23,Moderna,3,¿Cuál es la montaña más alta en Moderna?,RN11333,3,no,Respuesta C,Explicación: esta respuesta es incorrecta.
PN1133,2,Historia,23,Moderna,3,¿Cuál es la montaña más alta en Moderna?,RN11334,4,no,Respuesta D,Explicación: esta respuesta es incorrecta.
PN1134,2,Historia,23,Moderna,4,¿En qué época ocurrió la guerra en Moderna?,RN11341,1,no,Respuesta A,Explicación: esta respuesta es incorrecta.
PN1134,2,Historia,23,Moderna,4,¿En qué época ocurrió la guerra en Moderna?,RN11342,2,no,Respuesta B,Explicación: esta respuesta es incorrecta.
PN1134,2,Historia,23,Moderna,4,¿En qué época ocurrió la guerra en Moderna?,RN11343,3,no,Respuesta C,Explicación: esta respuesta es incorrecta.
PN1134,2,Historia,23,Moderna,4,¿En qué época ocurrió la guerra en Moderna?,RN11344,4,sí,Respuesta D,Explicación: esta es la respuesta correcta.
PN1135,2,Historia,24,Contemporánea,1,¿Cuál es la capital de Contemporánea?,RN11351,1,sí,Madrid,Explicación: esta es la respuesta correcta.
PN1135,2,Historia,24,Contemporánea,1,¿Cuál es la capital de Contemporánea?,RN11352,2,no,Paris,Explicación: esta respuesta es incorrecta.
PN1135,2,Historia,24,Contemporánea,1,¿Cuál es la capital de Contemporánea?,RN11353,3,no,London,Explicación: esta respuesta es incorrecta.
PN1135,2,Historia,24,Contemporánea,1,¿Cuál es la capital de Contemporánea?,RN11354,4,no,Berlin,Explicación: esta respuesta es incorrecta.
PN1136,2,Historia,24,Contemporánea,2,¿Qué río es el más largo de Contemporánea?,RN11361,1,sí,Amazonas,Explicación: esta es la respuesta correcta.
PN1136,2,Historia,24,Contemporánea,2,¿Qué río es el más largo de Contemporánea?,RN11362,2,no,Nilo,Explicación: esta respuesta es incorrecta.
PN1136,2,Historia,24,Contemporánea,2,¿Qué río es el más largo de Contemporánea?,RN11363,3,no,Misisipi,Explicación: esta respuesta es incorrecta.
PN1136,2,Historia,24,Contemporánea,2,¿Qué río es el más largo de Contemporánea?,RN11364,4,no,Yangtsé,Explicación: esta respuesta es incorrecta.
PN1137,2,Historia,24,Contemporánea,3,¿Cuál es la montaña más alta en Contemporánea?,RN11371,1,sí,Respuesta A,Explicación: esta es la respuesta correcta.
PN1137,2,Historia,24,Contemporánea,3,¿Cuál es la montaña más alta en Contemporánea?,RN11372,2,no,Respuesta B,Explicación: esta respuesta es incorrecta.
PN1137,2,Historia,24,Contemporánea,3,¿Cuál es la montaña más alta en Contemporánea?,RN11373,3,no,Respuesta C,Explicación: esta respuesta es incorrecta.
PN1137,2,Historia,24,Contemporánea,3,¿Cuál es la montaña más alta en Contemporánea?,RN11374,4,no,Respuesta D,Explicación: esta respuesta es incorrecta.
PN1138,2,Historia,24,Contemporánea,4,¿En qué época ocurrió la guerra en Contemporánea?,RN11381,1,no,Respuesta A,Explicación: esta respuesta es incorrecta.
PN1138,2,Historia,24,Contemporánea,4,¿En qué época ocurrió la guerra en Contemporánea?,RN11382,2,no,Respuesta B,Explicación: esta respuesta es incorrecta.
PN1138,2,Historia,24,Contemporánea,4,¿En qué época ocurrió la guerra en Contemporánea?,RN11383,3,no,Respuesta C,Explicación: esta respuesta es incorrecta.
PN1138,2,Historia,24,Contemporánea,4,¿En qué época ocurrió la guerra en Contemporánea?,RN11384,4,sí,Respuesta D,Explicación: esta es la respuesta correcta.
PN1139,3,Ciencia,25,Física,1,¿Cuál es la capital de Física?,RN11391,1,sí,Madrid,Explicación: esta es la respuesta correcta.
PN1139,3,Ciencia,25,Física,1,¿Cuál es la capital de Física?,RN11392,2,no,Paris,Explicación: esta respuesta es incorrecta.
PN1139,3,Ciencia,25,Física,1,¿Cuál es la capital de Física?,RN11393,3,no,London,Explicación: esta respuesta es incorrecta.
PN1139,3,Ciencia,25,Física,1,¿Cuál es la capital de Física?,RN11394,4,no,Berlin,Explicación: esta respuesta es incorrecta.
PN1140,3,Ciencia,25,Física,2,¿Qué río es el más largo de Física?,RN11401,1,sí,Amazonas,Explicación: esta es la respuesta correcta.
PN1140,3,Ciencia,25,Física,2,¿Qué río es el más largo de Física?,RN11402,2,no,Nilo,Explicación: esta respuesta es incorrecta.
PN1140,3,Ciencia,25,Física,2,¿Qué río es el más largo de Física?,RN11403,3,no,Misisipi,Explicación: esta respuesta es incorrecta.
PN1140,3,Ciencia,25,Física,2,¿Qué río es el más largo de Física?,RN11404,4,no,Yangtsé,Explicación: esta respuesta es incorrecta.
PN1141,3,Ciencia,25,Física,3,¿Cuál es la montaña más alta en Física?,RN11411,1,sí,Respuesta A,Explicación: esta es la respuesta correcta.
PN1141,3,Ciencia,25,Física,3,¿Cuál es la montaña más alta en Física?,RN11412,2,no,Respuesta B,Explicación: esta respuesta es incorrecta.
PN1141,3,Ciencia,25,Física,3,¿Cuál es la montaña más alta en Física?,RN11413,3,no,Respuesta C,Explicación: esta respuesta es incorrecta.
PN1141,3,Ciencia,25,Física,3,¿Cuál es la montaña más alta en Física?,RN11414,4,no,Respuesta D,Explicación: esta respuesta es incorrecta.
PN1142,3,Ciencia,25,Física,4,¿En qué época ocurrió la guerra en Física?,RN11421,1,no,Respuesta A,Explicación: esta respuesta es incorrecta.
PN1142,3,Ciencia,25,Física,4,¿En qué época ocurrió la guerra en Física?,RN11422,2,no,Respuesta B,Explicación: esta respuesta es incorrecta.
PN1142,3,Ciencia,25,Física,4,¿En qué época ocurrió la guerra en Física?,RN11423,3,no,Respuesta C,Explicación: esta respuesta es incorrecta.
PN1142,3,Ciencia,25,Física,4,¿En qué época ocurrió la guerra en Física?,RN11424,4,sí,Respuesta D,Explicación: esta es la respuesta correcta.
PN1143,3,Ciencia,26,Química,1,¿Cuál es la capital de Química?,RN11431,1,sí,Madrid,Explicación: esta es la respuesta correcta.
PN1143,3,Ciencia,26,Química,1,¿Cuál es la capital de Química?,RN11432,2,no,Paris,Explicación: esta respuesta es incorrecta.
PN1143,3,Ciencia,26,Química,1,¿Cuál es la capital de Química?,RN11433,3,no,London,Explicación: esta respuesta es incorrecta.
PN1143,3,Ciencia,26,Química,1,¿Cuál es la capital de Química?,RN11434,4,no,Berlin,Explicación: esta respuesta es incorrecta.
PN1144,3,Ciencia,26,Química,2,¿Qué río es el más largo de Química?,RN11441,1,sí,Amazonas,Explicación: esta es la respuesta correcta.
PN1144,3,Ciencia,26,Química,2,¿Qué río es el más largo de Química?,RN11442,2,no,Nilo,Explicación: esta respuesta es incorrecta.
PN1144,3,Ciencia,26,Química,2,¿Qué río es el más largo de Química?,RN11443,3,no,Misisipi,Explicación: esta respuesta es incorrecta.
PN1144,3,Ciencia,26,Química,2,¿Qué río es el más largo de Química?,RN11444,4,no,Yangtsé,Explicación: esta respuesta es incorrecta.
PN1145,3,Ciencia,26,Química,3,¿Cuál es la montaña más alta en Química?,RN11451,1,sí,Respuesta A,Explicación: esta es la respuesta correcta.
PN1145,3,Ciencia,26,Química,3,¿Cuál es la montaña más alta en Química?,RN11452,2,no,Respuesta B,Explicación: esta respuesta es incorrecta.
PN1145,3,Ciencia,26,Química,3,¿Cuál es la montaña más alta en Química?,RN11453,3,no,Respuesta C,Explicación: esta respuesta es incorrecta.
PN1145,3,Ciencia,26,Química,3,¿Cuál es la montaña más alta en Química?,RN11454,4,no,Respuesta D,Explicación: esta respuesta es incorrecta.
PN1146,3,Ciencia,26,Química,4,¿En qué época ocurrió la guerra en Química?,RN11461,1,no,Respuesta A,Explicación: esta respuesta es incorrecta.
PN1146,3,Ciencia,26,Química,4,¿En qué época ocurrió la guerra en Química?,RN11462,2,no,Respuesta B,Explicación: esta respuesta es incorrecta.
PN1146,3,Ciencia,26,Química,4,¿En qué época ocurrió la guerra en Química?,RN11463,3,no,Respuesta C,Explicación: esta respuesta es incorrecta.
PN1146,3,Ciencia,26,Química,4,¿En qué época ocurrió la guerra en Química?,RN11464,4,sí,Respuesta D,Explicación: esta es la respuesta correcta.
PN1147,3,Ciencia,27,Biología,1,¿Cuál es la capital de Biología?,RN11471,1,sí,Madrid,Explicación: esta es la respuesta correcta.
PN1147,3,Ciencia,27,Biología,1,¿Cuál es la capital de Biología?,RN11472,2,no,Paris,Explicación: esta respuesta es incorrecta.
PN1147,3,Ciencia,27,Biología,1,¿Cuál es la capital de Biología?,RN11473,3,no,London,Explicación: esta respuesta es incorrecta.
PN1147,3,Ciencia,27,Biología,1,¿Cuál es la capital de Biología?,RN11474,4,no,Berlin,Explicación: esta respuesta es incorrecta.
PN1148,3,Ciencia,27,Biología,2,¿Qué río es el más largo de Biología?,RN11481,1,sí,Amazonas,Explicación: esta es la respuesta correcta.
PN1148,3,Ciencia,27,Biología,2,¿Qué río es el más largo de Biología?,RN11482,2,no,Nilo,Explicación: esta respuesta es incorrecta.
PN1148,3,Ciencia,27,Biología,2,¿Qué río es el más largo de Biología?,RN11483,3,no,Misisipi,Explicación: esta respuesta es incorrecta.
PN1148,3,Ciencia,27,Biología,2,¿Qué río es el más largo de Biología?,RN11484,4,no,Yangtsé,Explicación: esta respuesta es incorrecta.
PN1149,3,Ciencia,27,Biología,3,¿Cuál es la montaña más alta en Biología?,RN11491,1,sí,Respuesta A,Explicación: esta es la respuesta correcta.
PN1149,3,Ciencia,27,Biología,3,¿Cuál es la montaña más alta en Biología?,RN11492,2,no,Respuesta B,Explicación: esta respuesta es incorrecta.
PN1149,3,Ciencia,27,Biología,3,¿Cuál es la montaña más alta en Biología?,RN11493,3,no,Respuesta C,Explicación: esta respuesta es incorrecta.
PN1149,3,Ciencia,27,Biología,3,¿Cuál es la montaña más alta en Biología?,RN11494,4,no,Respuesta D,Explicación: esta respuesta es incorrecta.
PN1150,3,Ciencia,27,Biología,4,¿En qué época ocurrió la guerra en Biología?,RN11501,1,no,Respuesta A,Explicación: esta respuesta es incorrecta.
PN1150,3,Ciencia,27,Biología,4,¿En qué época ocurrió la guerra en Biología?,RN11502,2,no,Respuesta B,Explicación: esta respuesta es incorrecta.
PN1150,3,Ciencia,27,Biología,4,¿En qué época ocurrió la guerra en Biología?,RN11503,3,no,Respuesta C,Explicación: esta respuesta es incorrecta.
PN1150,3,Ciencia,27,Biología,4,¿En qué época ocurrió la guerra en Biología?,RN11504,4,sí,Respuesta D,Explicación: esta es la respuesta correcta.
PN1151,4,Matemáticas,28,Álgebra,1,¿Cuál es la capital de Álgebra?,RN11511,1,sí,Madrid,Explicación: esta es la respuesta correcta.
PN1151,4,Matemáticas,28,Álgebra,1,¿Cuál es la capital de Álgebra?,RN11512,2,no,Paris,Explicación: esta respuesta es incorrecta.
PN1151,4,Matemáticas,28,Álgebra,1,¿Cuál es la capital de Álgebra?,RN11513,3,no,London,Explicación: esta respuesta es incorrecta.
PN1151,4,Matemáticas,28,Álgebra,1,¿Cuál es la capital de Álgebra?,RN11514,4,no,Berlin,Explicación: esta respuesta es incorrecta.
PN1152,4,Matemáticas,28,Álgebra,2,¿Qué río es el más largo de Álgebra?,RN11521,1,sí,Amazonas,Explicación: esta es la respuesta correcta.
PN1152,4,Matemáticas,28,Álgebra,2,¿Qué río es el más largo de Álgebra?,RN11522,2,no,Nilo,Explicación: esta respuesta es incorrecta.
PN1152,4,Matemáticas,28,Álgebra,2,¿Qué río es el más largo de Álgebra?,RN11523,3,no,Misisipi,Explicación: esta respuesta es incorrecta.
PN1152,4,Matemáticas,28,Álgebra,2,¿Qué río es el más largo de Álgebra?,RN11524,4,no,Yangtsé,Explicación: esta respuesta es incorrecta.
PN1153,4,Matemáticas,28,Álgebra,3,¿Cuál es la montaña más alta en Álgebra?,RN11531,1,sí,Respuesta A,Explicación: esta es la respuesta correcta.
PN1153,4,Matemáticas,28,Álgebra,3,¿Cuál es la montaña más alta en Álgebra?,RN11532,2,no,Respuesta B,Explicación: esta respuesta es incorrecta.
PN1153,4,Matemáticas,28,Álgebra,3,¿Cuál es la montaña más alta en Álgebra?,RN11533,3,no,Respuesta C,Explicación: esta respuesta es incorrecta.
PN1153,4,Matemáticas,28,Álgebra,3,¿Cuál es la montaña más alta en Álgebra?,RN11534,4,no,Respuesta D,Explicación: esta respuesta es incorrecta.
PN1154,4,Matemáticas,28,Álgebra,4,¿En qué época ocurrió la guerra en Álgebra?,RN11541,1,no,Respuesta A,Explicación: esta respuesta es incorrecta.
PN1154,4,Matemáticas,28,Álgebra,4,¿En qué época ocurrió la guerra en Álgebra?,RN11542,2,no,Respuesta B,Explicación: esta respuesta es incorrecta.
PN1154,4,Matemáticas,28,Álgebra,4,¿En qué época ocurrió la guerra en Álgebra?,RN11543,3,no,Respuesta C,Explicación: esta respuesta es incorrecta.
PN1154,4,Matemáticas,28,Álgebra,4,¿En qué época ocurrió la guerra en Álgebra?,RN11544,4,sí,Respuesta D,Explicación: esta es la respuesta correcta.
PN1155,4,Matemáticas,29,Geometría,1,¿Cuál es la capital de Geometría?,RN11551,1,sí,Madrid,Explicación: esta es la respuesta correcta.
PN1155,4,Matemáticas,29,Geometría,1,¿Cuál es la capital de Geometría?,RN11552,2,no,Paris,Explicación: esta respuesta es incorrecta.
PN1155,4,Matemáticas,29,Geometría,1,¿Cuál es la capital de Geometría?,RN11553,3,no,London,Explicación: esta respuesta es incorrecta.
PN1155,4,Matemáticas,29,Geometría,1,¿Cuál es la capital de Geometría?,RN11554,4,no,Berlin,Explicación: esta respuesta es incorrecta.
PN1156,4,Matemáticas,29,Geometría,2,¿Qué río es el más largo de Geometría?,RN11561,1,sí,Amazonas,Explicación: esta es la respuesta correcta.
PN1156,4,Matemáticas,29,Geometría,2,¿Qué río es el más largo de Geometría?,RN11562,2,no,Nilo,Explicación: esta respuesta es incorrecta.
PN1156,4,Matemáticas,29,Geometría,2,¿Qué río es el más largo de Geometría?,RN11563,3,no,Misisipi,Explicación: esta respuesta es incorrecta.
PN1156,4,Matemáticas,29,Geometría,2,¿Qué río es el más largo de Geometría?,RN11564,4,no,Yangtsé,Explicación: esta respuesta es incorrecta.
PN1157,4,Matemáticas,29,Geometría,3,¿Cuál es la montaña más alta en Geometría?,RN11571,1,sí,Respuesta A,Explicación: esta es la respuesta correcta.
PN1157,4,Matemáticas,29,Geometría,3,¿Cuál es la montaña más alta en Geometría?,RN11572,2,no,Respuesta B,Explicación: esta respuesta es incorrecta.
